SOURCEID,MARKET,DISCO_CODE,LOAD_PROFILE,RATE_CLASS,ESG_SOURCEID,MARKET_1,DISCO_CODE_1,PROFILE_CLASS,RATE_CLASS_1,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG
10050,ERCOT,AEPWTU,,860,10050,ERCOT,AEPWTU,,ERCOT_BUS,IDR,T,Transmission,TX,0,50,Y
10051,ERCOT,AEPWTU,,861,10051,ERCOT,AEPWTU,,ERCOT_BUS,IDR,T,Transmission,TX,0,51,Y
10052,ERCOT,AEPWTU,,862,10052,ERCOT,AEPWTU,,ERCOT_BUS,IDR,T,Transmission,TX,0,52,Y
10053,ERCOT,TNMP,,SSGI,10053,ERCOT,TNMP,,ERCOT_BUS,IDR,,SECONDARY,TX,0,53,Y
10054,ERCOT,TNMP,,SSLI,10054,ERCOT,TNMP,,ERCOT_BUS,IDR,,SECONDARY,TX,0,54,Y
10055,ERCOT,TNMP,,SSMI,10055,ERCOT,TNMP,,ERCOT_BUS,IDR,,SECONDARY,TX,0,55,Y
10056,ERCOT,TNMP,,PSGI,10056,ERCOT,TNMP,,ERCOT_BUS,IDR,,PRIMARY,TX,0,56,Y
10057,ERCOT,TNMP,,PSLI,10057,ERCOT,TNMP,,ERCOT_BUS,IDR,,PRIMARY,TX,0,57,Y
10058,ERCOT,TNMP,,PSMI,10058,ERCOT,TNMP,,ERCOT_BUS,IDR,,PRIMARY,TX,0,58,Y
10059,ERCOT,TNMP,,RLMS,10059,ERCOT,TNMP,,ERCOT_BUS,IDR,,SECONDARY,TX,0,59,Y
10060,ERCOT,TNMP,,RLMO,10060,ERCOT,TNMP,,ERCOT_BUS,IDR,,SECONDARY,TX,0,60,Y
10061,ERCOT,TNMP,,RLPF,10061,ERCOT,TNMP,,ERCOT_BUS,IDR,,SECONDARY,TX,0,61,Y
10062,ERCOT,CPT,,350,10062,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,62,Y
10063,ERCOT,CPT,,351,10063,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,63,Y
10064,ERCOT,CPT,,352,10064,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,64,Y
10065,ERCOT,CPT,,353,10065,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,65,Y
10066,ERCOT,CPT,,348,10066,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,66,Y
10067,ERCOT,CPT,,349,10067,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,67,Y
10068,ERCOT,CPT,,360,10068,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,68,Y
10069,ERCOT,CPT,,370,10069,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,69,Y
10070,ERCOT,CPT,,371,10070,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,70,Y
10071,ERCOT,CPT,,372,10071,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,71,Y
10072,ERCOT,CPT,,380,10072,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,72,Y
