ESG_SOURCEID,MARKET,DISCO_CODE,PROFILE_CLASS,RATE_CLASS,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,SIEBELRATE,SIEBELPROFILE,SISBELLOSSCODE
"53,301",PJM,ATSITE,TE_SL,TE-GSD,SCALAR,SECONDAR,,OH,0,"8,351",Y,1,1,
"53,307",PJM,DAYTON,SS00_IDR,137,IDR,SECONDARY,,OH,0,"8,357",N,1,,1
"53,367",PJM,APSPA,GSCL_IDR,WP-GP35F,IDR,SECONDARY,WP_SEC,PA,0,"8,417",N,1,,1
"53,543",PJM,AEPOP,CCOHDMPO,849,SCALAR,PRIMARY,,OH,0,"8,593",Y,1,,1
"53,555",PJM,AEPOP,CCOHDM2O,857,SCALAR,SECONDARY,,OH,0,"8,605",Y,1,,1
"53,563",PJM,AEPOP,CCOH_IDR,882,IDR,SECONDARY,,OH,0,"8,613",Y,1,,1
"53,565",PJM,AEPOP,CCOH_IDR,882,IDR,SECONDARY,,OH,0,"8,615",Y,1,,1
"53,579",PJM,AEPOP,CCOHNONA,831,SCALAR,SECONDARY,,OH,0,"8,629",Y,1,,1
"53,584",PJM,AEPOP,CCOHDMPO,849,SCALAR,PRIMARY,,OH,0,"8,634",Y,1,,1
"53,637",PJM,AEPOP,CCOHNONA,831,SCALAR,SECONDARY,,OH,0,"8,687",Y,1,,1
"53,642",PJM,AEPOP,CCOHDMPO,849,SCALAR,PRIMARY,,OH,0,"8,692",Y,1,,1
"53,660",PJM,AEPOP,CCOHDM2O,857,SCALAR,SECONDARY,,OH,0,"8,710",Y,1,,1
"53,724",PJM,AEPCS,CCOHDMPO,856,SCALAR,PRIMARY,,OH,0,"8,774",Y,1,,1
"53,735",PJM,AEPCS,CCOHNONA,831,SCALAR,SECONDARY,,OH,0,"8,785",Y,1,,1
"53,813",PJM,AEPCS,CCOHDMPO,856,SCALAR,PRIMARY,,OH,0,"8,863",Y,1,,1
"53,824",PJM,AEPCS,CCOHNONA,831,SCALAR,SECONDARY,,OH,0,"8,874",Y,1,,1
"53,850",PJM,AEPCS,CCOHDMPO,856,SCALAR,PRIMARY,,OH,0,"8,900",Y,1,,1
"53,933",PJM,ATSIOE,TE_C2,OE-GSD,SCALAR,SECONDARY,,OH,0,"8,983",Y,1,,1
"53,934",PJM,ATSIOE,TE_C3,OE-GSD,SCALAR,SECONDARY,,OH,0,"8,984",Y,1,,1
"53,941",PJM,APSPA,GSCL,WP-PP40D,SCALAR,SUBTRANSMISSION,WP_SUB,PA,0,"8,991",N,1,,1
"53,945",PJM,APSPA,GSCL_IDR,WP-PP40D,SCALAR,SUBTRANSMISSION,WP_SUB,PA,0,"8,995",N,1,,1
"53,948",PJM,ATSIPP,PP_SL,PP-GSD,SCALAR,SECONDARY,,PA,0,"8,998",Y,1,,1
"53,951",PJM,COMED,IDR,R01,IDR,R01,,IL,0,"9,001",N,1,,1
"53,953",PJM,COMED,IDR,R01,IDR,R01,,IL,0,"9,003",N,1,,1
"53,955",PJM,COMED,IDR,R01,IDR,R01,,IL,0,"9,005",N,1,,1
"54,023",PJM,PPL,IDR,MT1,IDR,TRANSMISSION,TRANSMISSION,PA,0,"9,073",Y,,,1
"54,032",PJM,AEPCS,CCOHDMPU,771,IDR,PRIMARY,,OH,0,"9,082",Y,,,1
"54,034",PJM,AEPCS,CCOHDMPU,773,IDR,PRIMARY,,OH,0,"9,084",Y,,,1
"54,044",PJM,AEPOP,CCOHDM2U,860,SCALAR,SECONDARY,,OH,0,"9,094",Y,,,1
"54,061",PJM,AEPOP,CCOHDMPU,849,SCALAR,PRIMARY,,OH,0,"9,111",Y,1,,1
"54,073",PJM,AEPOP,CCOHDMPU,849,IDR,PRIMARY,,OH,0,"9,123",N,1,,1
"54,092",PJM,AEPOP,CCOHDMTU,866,SCALAR,TRANSMISSION,,OH,0,"9,142",N,,,1
"54,102",PJM,AEPOP,CCOH_IDR,857,IDR,TRANSMISSION,,OH,0,"9,152",Y,1,,1
"54,106",PJM,AEPOP,CCOH_IDR,866,IDR,TRANSMISSION,,OH,0,"9,156",Y,,,1
"54,110",PJM,AEPCS,CCOHDMTU,861,SCALAR,TRANSMISSION,,OH,0,"9,160",N,1,,1
"54,111",PJM,AEPCS,CCOHDMTU,864,SCALAR,TRANSMISSION,,OH,0,"9,161",N,,,1
"54,120",PJM,AEPCS,CCOH_IDR,864,IDR,TRANSMISSION,,OH,0,"9,170",Y,,,1
"54,134",PJM,AEPCS,CCOHDMPU,856,SCALAR,PRIMARY,,OH,0,"9,184",Y,1,,1
"54,147",PJM,AEPCS,CCOHDMPU,856,IDR,PRIMARY,,OH,0,"9,197",N,1,,1
"54,194",PJM,PEPCO,RMNS,250,SCALAR,R,,MD,100,"9,244",Y,1,1,
"54,195",PJM,PEPCO,RMNS,350,SCALAR,R,,MD,100,"9,245",Y,,,
"54,196",PJM,PEPCO,RMSH,250,SCALAR,R,,MD,100,"9,246",Y,1,1,
"54,197",PJM,PEPCO,RMSH,350,SCALAR,R,,MD,100,"9,247",Y,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
