,ESG_SOURCEID,MARKET,DISCO_CODE,PROFILE_CLASS,RATE_CLASS,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,GROUP
57,10089,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,89,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
58,10090,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,90,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
59,10091,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,91,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
60,10092,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,92,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
61,10093,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,93,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
62,10094,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,94,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
63,10095,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,95,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
64,10096,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,96,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
65,10097,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,97,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
66,10098,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,98,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
67,10099,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,99,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
68,10100,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,100,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
69,10101,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,101,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
70,10102,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,102,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
71,10103,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,103,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
72,10105,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,105,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
73,10106,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,106,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
74,10107,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,107,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
75,10111,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,111,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
76,10112,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,112,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
77,10113,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,113,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
78,10114,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,114,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
79,10115,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,115,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
80,10116,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,116,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
81,10117,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,117,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
