Utility Name,Rate Name,Description,Commodity,Voltage,Business Type,Loss Factor,Profile
AEP_OH_CS,AEP_OH_CS_RC_093,"Outdoor Lighting, Mecury Vapor 250 Watts (MV 250)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_094,"Outdoor Lighting, Mecury Vapor 175-Post Top (MV PT 175)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_095,"Outdoor Lighting, Mecury Vapor 250-Post Top (MV PT 250)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_097,"Outdoor Lighting, Mecury Vapor 175-Federal (MV FE 175)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_098,"Outdoor Lighting, Mecury Vapor 400-Federal (MV FE 400)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_100,"Outdoor Lighting, 100  High Pressureure Sodium  (HPS 100)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_101,"Outdoor Lighting, 150  High Pressureure Sodium  (HPS 150)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_102,"Outdoor Lighting, 200  High Pressureure Sodium  (HPS 200)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_103,"Outdoor Lighting, 250  High Pressureure Sodium  (HPS 250)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_104,"Outdoor Lighting, 400  High Pressureure Sodium  (HPS 400)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_106,"Outdoor Lighting, High Pressureure Sodium 100-Flood (HP FL 100)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_107,"Outdoor Lighting, High Pressureure Sodium 250-Flood (HP FL 250)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_108,"Outdoor Lighting, High Pressureure Sodium 400-Flood (HP FL 400)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_109,"Outdoor Lighting, High Pressureure Sodium 1000-Flood (HP FL 1000)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_110,"Outdoor Lighting, High Pressure Sodium 100-Post Top (HP PT 100)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_111,"Outdoor Lighting, High Pressure Sodium 150-Post Top (HP PT 150)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_112,"Outdoor Lighting, High Pressure Sodium 200- Flood (HP FL 200)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_115,"Outdoor Lighting, High Pressureure Sodium 100-Federal (HP FE 100)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_116,"Outdoor Lighting, High Pressureure Sodium 150-Federal (HP FE 150)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
