,SOURCEID,MARKET,DISCO_CODE,LOAD_PROFILE,RATE_CLASS,ESG_SOURCEID,MARKET_1,DISCO_CODE_1,PROFILE_CLASS,RATE_CLASS_1,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,GROUP
65,10097,ERCOT,ONCOR,,98,10097,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,97,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
66,10098,ERCOT,ONCOR,,11,10098,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,98,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
67,10099,ERCOT,ONCOR,,12,10099,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,99,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
68,10100,ERCOT,ONCOR,,13,10100,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,100,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
69,10101,ERCOT,ONCOR,,14,10101,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,101,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
70,10102,ERCOT,ONCOR,,81,10102,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,102,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
71,10103,ERCOT,ONCOR,,85,10103,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,103,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
72,10105,ERCOT,ONCOR,,10,10105,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,105,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
73,10106,ERCOT,ONCOR,,17,10106,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,106,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
74,10107,ERCOT,ONCOR,,20,10107,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,107,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
75,10111,ERCOT,ONCOR,,79,10111,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,111,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
76,10112,ERCOT,ONCOR,,15,10112,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,112,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
77,10113,ERCOT,ONCOR,,31,10113,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,113,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
78,10114,ERCOT,ONCOR,,34,10114,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,114,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
79,10115,ERCOT,ONCOR,,37,10115,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,115,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
80,10116,ERCOT,ONCOR,,40,10116,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,116,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
81,10117,ERCOT,ONCOR,,43,10117,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,117,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
82,10118,ERCOT,ONCOR,,61,10118,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,118,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
83,50394,ERCOT,ONCOR,,D6,50394,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5496,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
84,50395,ERCOT,ONCOR,,DC,50395,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5497,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
85,50396,ERCOT,ONCOR,,DJ,50396,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5498,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
86,50397,ERCOT,ONCOR,,DQ,50397,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5499,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
87,49264,ERCOT,ONCOR,,4,49264,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4364,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
88,49265,ERCOT,ONCOR,,B0,49265,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4365,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
89,49266,ERCOT,ONCOR,,B1,49266,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4366,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
90,49267,ERCOT,ONCOR,,B4,49267,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4367,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
91,49268,ERCOT,ONCOR,,B5,49268,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4368,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
92,49269,ERCOT,ONCOR,,C7,49269,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4369,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
93,49270,ERCOT,ONCOR,,E0,49270,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4370,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
94,49271,ERCOT,ONCOR,,D0,49271,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4371,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
95,49272,ERCOT,ONCOR,,E1,49272,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4372,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
96,49273,ERCOT,ONCOR,,D1,49273,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4373,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
97,49275,ERCOT,ONCOR,,22,49275,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4375,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
98,49276,ERCOT,ONCOR,,23,49276,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4376,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
99,49277,ERCOT,ONCOR,,25,49277,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4377,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
100,49278,ERCOT,ONCOR,,26,49278,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4378,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
101,49279,ERCOT,ONCOR,,28,49279,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4379,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
102,49280,ERCOT,ONCOR,,29,49280,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4380,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
103,49311,ERCOT,ONCOR,,C6,49311,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4411,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
104,49315,ERCOT,ONCOR,,C8,49315,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4415,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
105,49317,ERCOT,ONCOR,,D3,49317,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4417,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
106,49320,ERCOT,ONCOR,,B2,49320,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4420,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
107,49323,ERCOT,ONCOR,,C9,49323,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4423,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
108,49334,ERCOT,ONCOR,,B3,49334,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4434,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
