CUSTOMERNAME,CUSTOMERID,LDC_ACCOUNT,ACCOUNTID,JURISCODE,PROFILECODE,METERTYPE,LOSSCODE,ZONECODE,STARTTIME,STOPTIME,USAGE,PEAK,CAPTAG_STARTTIME,CAPTAG_STOPTIME,CAPTAG_DELTA,CUR_CAPTAG
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037554221740001981,PJM_ATSICE_08037554221740001981,OH,CE_C2,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"406,813.96",122.20,6/1/18,5/31/2019,-24.5928,60.9062
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08006643571770001988,PJM_ATSICE_08006643571770001988,OH,CE_C2,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"84,826.99",33.98,6/1/18,5/31/2019,4.0634,16.3452
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037517870000314906,PJM_ATSIOE_08037517870000314906,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"272,077.22",88.38,6/1/18,5/31/2019,-22.6957,61.5725
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037543765000382126,PJM_ATSIOE_08037543765000382126,OH,OE_C1,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"846,646.89",150.84,6/1/18,5/31/2019,137.9883,260.4953
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037517870000255867,PJM_ATSIOE_08037517870000255867,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"11,755.48",4.99,6/1/18,5/31/2019,-0.6822,3.4244
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037517870000318397,PJM_ATSIOE_08037517870000318397,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"90,142.51",41.87,6/1/18,5/31/2019,-8.5324,16.771
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037517875000262907,PJM_ATSIOE_08037517875000262907,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"607,492.06",197.64,6/1/18,5/31/2019,-32.8518,158.7083
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037517870000232099,PJM_ATSIOE_08037517870000232099,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"645,971.42",210.62,6/1/18,5/31/2019,-12.7064,164.4336
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037543765000334390,PJM_ATSIOE_08037543765000334390,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"549,915.40",202.65,6/1/18,5/31/2019,-24.4208,145.9973
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037517870000231237,PJM_ATSIOE_08037517870000231237,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"123,033.92",53.90,6/1/18,5/31/2019,-16.1073,11.8902
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037517875000355460,PJM_ATSIOE_08037517875000355460,OH,OE_C1,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"2,261,203.18",463.96,6/1/18,5/31/2019,-76.8436,444.9215
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037543760000233631,PJM_ATSIOE_08037543760000233631,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"650,468.52",231.70,6/1/18,5/31/2019,23.9671,218.3632
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08004602710000229517,PJM_ATSIOE_08004602710000229517,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,7.25,0.02,6/1/18,5/31/2019,0.3921,0.3936
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08006317120000266616,PJM_ATSIOE_08006317120000266616,OH,OE_C1,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"380,803.67",71.73,6/1/18,5/31/2019,-4.1701,66.6704
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037543765000382124,PJM_ATSIOE_08037543765000382124,OH,OE_C1,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"904,086.75",168.79,6/1/18,5/31/2019,-51.8544,99.9223
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005518045000337378,PJM_ATSIOE_08005518045000337378,OH,OE_C1,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"1,953,345.83",358.56,6/1/18,5/31/2019,-72.7623,249.1863
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037523601270000373,PJM_ATSICE_08037523601270000373,OH,CE_C2,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"344,270.39",103.43,6/1/18,5/31/2019,-21.4150,56.5297
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037523601300000470,PJM_ATSICE_08037523601300000470,OH,CE_C2,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,397.59,0.19,6/1/18,5/31/2019,1.5302,1.5951
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037543210000718071,PJM_ATSIOE_08037543210000718071,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"133,348.48",47.14,6/1/18,5/31/2019,-1.5375,17.9906
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037543210000706239,PJM_ATSIOE_08037543210000706239,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"171,505.02",57.55,6/1/18,5/31/2019,-21.2755,12.6469
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005798525000366453,PJM_ATSICE_08005798525000366453,OH,CE_C1,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"710,640.83",136.12,6/1/18,5/31/2019,-29.1152,127.9589
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005798525000366456,PJM_ATSICE_08005798525000366456,OH,CE_C1,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"685,852.65",124.24,6/1/18,5/31/2019,-29.4320,115.8893
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037506660000338926,PJM_ATSIOE_08037506660000338926,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"608,421.41",190.59,6/1/18,5/31/2019,-26.7111,80.4541
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08004730221050097695,PJM_ATSICE_08004730221050097695,OH,CE_C2,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"25,662.05",13.83,6/1/18,5/31/2019,-4.9734,2.2906
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005956955000130131,PJM_ATSICE_08005956955000130131,OH,CE_CG,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"3,942.03",0.87,6/1/18,5/31/2019,-0.0639,0.8741
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037515921500001884,PJM_ATSICE_08037515921500001884,OH,CE_C2,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"425,079.76",141.79,6/1/18,5/31/2019,19.0614,104.1668
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037515921900001772,PJM_ATSICE_08037515921900001772,OH,CE_CG,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"628,834.85",130.01,6/1/18,5/31/2019,-48.6645,80.9312
